Date,Open,High,Low,Close,Adj Close,Volume
2019-09-06,3570.000000,3590.000000,3150.000000,3270.000000,3140.323975,50259300
2019-09-09,3270.000000,3390.000000,3220.000000,3280.000000,3149.927490,28767900
2019-09-10,3390.000000,3600.000000,3260.000000,3280.000000,3149.927490,30773800
2019-09-11,3280.000000,3310.000000,3230.000000,3270.000000,3140.323975,14896900
2019-09-12,3290.000000,3410.000000,3280.000000,3350.000000,3217.151611,25527900
2019-09-13,3360.000000,3460.000000,3360.000000,3450.000000,3313.186035,16207500
2019-09-16,3450.000000,3450.000000,3310.000000,3380.000000,3245.961914,8829600
2019-09-17,3410.000000,3480.000000,3410.000000,3440.000000,3303.582275,15618500
2019-09-18,3470.000000,3550.000000,3460.000000,3500.000000,3361.203125,15169200
2019-09-19,3490.000000,3550.000000,3450.000000,3470.000000,3332.392822,6187000
2019-09-20,3480.000000,3520.000000,3370.000000,3410.000000,3274.772217,9784500
2019-09-23,3430.000000,3470.000000,3340.000000,3390.000000,3255.565186,6534300
2019-09-24,3420.000000,3430.000000,3260.000000,3290.000000,3159.530762,7695900
2019-09-25,3290.000000,3330.000000,3220.000000,3300.000000,3169.134277,6192200
2019-09-26,3300.000000,3510.000000,3290.000000,3500.000000,3361.203125,14984500
2019-09-27,3490.000000,3550.000000,3440.000000,3500.000000,3361.203125,14775500
2019-09-30,3460.000000,3460.000000,3380.000000,3440.000000,3303.582275,8336900
2019-10-01,3440.000000,3470.000000,3390.000000,3450.000000,3313.186035,6286600
2019-10-02,3410.000000,3490.000000,3410.000000,3450.000000,3313.186035,8620400
2019-10-03,3410.000000,3420.000000,3260.000000,3380.000000,3245.961914,10902400
2019-10-04,3390.000000,3440.000000,3320.000000,3350.000000,3217.151611,8835800
2019-10-07,3360.000000,3380.000000,3270.000000,3350.000000,3217.151611,7013200
2019-10-08,3310.000000,3450.000000,3310.000000,3450.000000,3313.186035,8264800
2019-10-09,3450.000000,3540.000000,3430.000000,3440.000000,3303.582275,9908300
2019-10-10,3470.000000,3500.000000,3440.000000,3490.000000,3351.599365,8978700
2019-10-11,3450.000000,3520.000000,3440.000000,3490.000000,3351.599365,8844000
2019-10-14,3530.000000,3540.000000,3450.000000,3490.000000,3351.599365,10066700
2019-10-15,3500.000000,3550.000000,3500.000000,3530.000000,3390.013184,12183000
2019-10-16,3550.000000,3550.000000,3400.000000,3530.000000,3390.013184,9894100
2019-10-17,3550.000000,3550.000000,3480.000000,3530.000000,3390.013184,7245900
2019-10-18,3540.000000,3550.000000,3480.000000,3540.000000,3399.616943,4672200
2019-10-21,3490.000000,3510.000000,3450.000000,3500.000000,3361.203125,8987300
2019-10-22,3500.000000,3540.000000,3470.000000,3520.000000,3380.409912,7836700
2019-10-23,3510.000000,3530.000000,3470.000000,3480.000000,3341.996094,11054400
2019-10-24,3470.000000,3490.000000,3440.000000,3450.000000,3313.186035,7440900
2019-10-25,3430.000000,3520.000000,3380.000000,3390.000000,3255.565186,11250900
2019-10-28,3430.000000,3550.000000,3430.000000,3460.000000,3322.789307,12915400
2019-10-29,3490.000000,3540.000000,3480.000000,3520.000000,3380.409912,10084300
2019-10-30,3520.000000,3560.000000,3500.000000,3550.000000,3409.220215,18887100
2019-10-31,3550.000000,3550.000000,3450.000000,3550.000000,3409.220215,10474300
2019-11-01,3550.000000,3550.000000,3450.000000,3520.000000,3380.409912,9657500
2019-11-04,3520.000000,3610.000000,3520.000000,3550.000000,3409.220215,26170300
2019-11-05,3550.000000,3560.000000,3470.000000,3500.000000,3361.203125,17822800
2019-11-06,3510.000000,3580.000000,3500.000000,3520.000000,3380.409912,11876400
2019-11-07,3550.000000,3550.000000,3450.000000,3500.000000,3361.203125,9760400
2019-11-08,3630.000000,3730.000000,3420.000000,3450.000000,3313.186035,71413500
2019-11-11,3450.000000,3500.000000,3260.000000,3300.000000,3169.134277,21046300
2019-11-12,3340.000000,3480.000000,3320.000000,3460.000000,3322.789307,25200300
2019-11-13,3460.000000,3510.000000,3410.000000,3440.000000,3303.582275,17493000
2019-11-14,3490.000000,3530.000000,3440.000000,3480.000000,3341.996094,22803200
2019-11-15,3500.000000,3520.000000,3460.000000,3480.000000,3341.996094,19547400
2019-11-18,3500.000000,3540.000000,3400.000000,3480.000000,3341.996094,19152500
2019-11-19,3530.000000,3550.000000,3490.000000,3530.000000,3390.013184,20500100
2019-11-20,3550.000000,3550.000000,3500.000000,3550.000000,3409.220215,10459700
2019-11-21,3550.000000,3550.000000,3460.000000,3500.000000,3361.203125,23152800
2019-11-22,3530.000000,3580.000000,3510.000000,3540.000000,3399.616943,40647700
2019-11-25,3550.000000,3590.000000,3510.000000,3550.000000,3409.220215,36810500
2019-11-26,3550.000000,3550.000000,3470.000000,3490.000000,3351.599365,218231500
2019-11-27,3490.000000,3490.000000,3300.000000,3390.000000,3255.565186,22229100
2019-11-28,3350.000000,3360.000000,3180.000000,3230.000000,3101.910400,16174300
2019-11-29,3180.000000,3350.000000,3070.000000,3340.000000,3207.548096,8546700
2019-12-02,3360.000000,3410.000000,3350.000000,3390.000000,3255.565186,9834600
2019-12-03,3400.000000,3430.000000,3380.000000,3420.000000,3284.375488,13072800
2019-12-04,3420.000000,3430.000000,3380.000000,3410.000000,3274.772217,10036900
2019-12-05,3370.000000,3400.000000,3300.000000,3350.000000,3217.151611,10002900
2019-12-06,3390.000000,3400.000000,3300.000000,3400.000000,3265.168457,10281300
2019-12-09,3390.000000,3390.000000,3250.000000,3270.000000,3140.323975,7995800
2019-12-10,3270.000000,3340.000000,3260.000000,3300.000000,3169.134277,9858500
2019-12-11,3290.000000,3320.000000,3270.000000,3300.000000,3169.134277,6693500
2019-12-12,3300.000000,3300.000000,3240.000000,3260.000000,3130.720459,9334700
2019-12-13,3310.000000,3310.000000,3220.000000,3240.000000,3111.513672,10939400
2019-12-16,3220.000000,3280.000000,3190.000000,3210.000000,3082.703369,8656200
2019-12-17,3210.000000,3310.000000,3200.000000,3310.000000,3178.737793,7381000
2019-12-18,3310.000000,3360.000000,3260.000000,3330.000000,3197.944580,12475400
2019-12-19,3330.000000,3350.000000,3220.000000,3220.000000,3092.306641,4637100
2019-12-20,3250.000000,3320.000000,3220.000000,3320.000000,3188.341064,11562300
2019-12-23,3330.000000,3350.000000,3250.000000,3310.000000,3178.737793,5436300
2019-12-26,3250.000000,3300.000000,3250.000000,3260.000000,3130.720459,3863700
2019-12-27,3270.000000,3270.000000,3220.000000,3250.000000,3121.116943,4899800
2019-12-30,3220.000000,3250.000000,3150.000000,3150.000000,3025.082764,5075500
2020-01-02,3170.000000,3220.000000,3140.000000,3210.000000,3082.703369,3718200
2020-01-03,3230.000000,3230.000000,3190.000000,3200.000000,3073.099854,3907700
2020-01-06,3170.000000,3250.000000,3160.000000,3240.000000,3111.513672,3513500
2020-01-07,3250.000000,3270.000000,3220.000000,3250.000000,3121.116943,3419200
2020-01-08,3250.000000,3300.000000,3190.000000,3300.000000,3169.134277,6944000
